1818,
  -0.760197007847924E+01,   0.754253895345460E+00,
  -0.729257065390928E+01,   0.444216566157228E+00,
  -0.729322437851338E+01,   0.599099484096220E+00,
  -0.729379976604872E+01,   0.754095233266773E+00,
  -0.711287786998950E+01,   0.444221900863668E+00,
  -0.711374523251550E+01,   0.599114283164238E+00,
  -0.711450943686889E+01,   0.754130130396437E+00,
  -0.680424831835583E+01,   0.444207872820453E+00,
  -0.680550411699487E+01,   0.599115503840078E+00,
  -0.680661357539313E+01,   0.754162538857136E+00,
  -0.649579401556654E+01,   0.444132526621439E+00,
  -0.649746203842446E+01,   0.599051586453310E+00,
  -0.649894042381582E+01,   0.754125037876180E+00,
  -0.631635898341500E+01,   0.444057788548736E+00,
  -0.631827917660394E+01,   0.598979980330483E+00,
  -0.631998392844406E+01,   0.754065026353043E+00,
  -0.600820567982372E+01,   0.443835749670313E+00,
  -0.601060019551644E+01,   0.598730427443978E+00,
  -0.601272547092456E+01,   0.753804768189004E+00,
  -0.570025766001821E+01,   0.443489575459812E+00,
  -0.570318121670903E+01,   0.598311326396892E+00,
  -0.570576857274576E+01,   0.753332802846632E+00,
  -0.552112957971808E+01,   0.443226401767221E+00,
  -0.552438589160127E+01,   0.597983238498498E+00,
  -0.552726128325435E+01,   0.752952753295067E+00,
  -0.521350156819129E+01,   0.442598683843955E+00,
  -0.521736731144873E+01,   0.597181498125598E+00,
  -0.522077013473876E+01,   0.751998062054115E+00,
  -0.490607283738514E+01,   0.441739164857491E+00,
  -0.491059492555836E+01,   0.596065561272055E+00,
  -0.491456624221987E+01,   0.750644800764705E+00,
  -0.472723939198074E+01,   0.441126588932048E+00,
  -0.473216387515940E+01,   0.595263165882271E+00,
  -0.473648401649133E+01,   0.749662608952958E+00,
  -0.442003108537969E+01,   0.439795072606614E+00,
  -0.442566395229156E+01,   0.593495255285155E+00,
  -0.443060007943031E+01,   0.747470933637576E+00,
  -0.411290216525403E+01,   0.438098643499261E+00,
  -0.411926229146333E+01,   0.591217295506007E+00,
  -0.412483338410121E+01,   0.744617879053293E+00,
  -0.393417910177233E+01,   0.436938757417270E+00,
  -0.394096752834404E+01,   0.589649631126488E+00,
  -0.394691391728372E+01,   0.742642822157792E+00,
  -0.362691445042169E+01,   0.434579183576476E+00,
  -0.363439188396945E+01,   0.586431835862018E+00,
  -0.364094751804231E+01,   0.738553941883066E+00,
  -0.331939881692240E+01,   0.431746154139032E+00,
  -0.332749802209712E+01,   0.582535920271158E+00,
  -0.333461140511722E+01,   0.733564071264634E+00,
  -0.314029080525099E+01,   0.429882731539748E+00,
  -0.314871496880821E+01,   0.579960363336131E+00,
  -0.315612380433969E+01,   0.730249631506867E+00,
  -0.283197107583993E+01,   0.426362807772563E+00,
  -0.284079940992207E+01,   0.575066312211567E+00,
  -0.284858280360911E+01,   0.723916241464429E+00,
  -0.252288576529688E+01,   0.422447946238661E+00,
  -0.253191040711251E+01,   0.569588507154608E+00,
  -0.253988825959447E+01,   0.716785322356167E+00,
  -0.234263139497098E+01,   0.420004061306299E+00,
  -0.235166945905891E+01,   0.566155006116244E+00,
  -0.235967242885810E+01,   0.712298756394825E+00,
  -0.203200396600351E+01,   0.415769508576552E+00,
  -0.204081352911460E+01,   0.560188109652701E+00,
  -0.204862988756662E+01,   0.704479562469866E+00,
  -0.172019252367102E+01,   0.411525729973240E+00,
  -0.172844439209650E+01,   0.554186642419826E+00,
  -0.173577247773208E+01,   0.696587758992441E+00,
  -0.153818186006806E+01,   0.409076821996613E+00,
