 369,
   0.2185716879438369E+00,   0.1249103343045959E+00,
   0.2158842228652097E+00,   0.1143131975323772E+00,
   0.2192419714959078E+00,   0.1162496756571382E+00,
   0.2225988864949547E+00,   0.1181854275305358E+00,
   0.2195497548703163E+00,   0.1077127973803354E+00,
   0.2229688341823113E+00,   0.1095387831676579E+00,
   0.2263869819766288E+00,   0.1113640586786510E+00,
   0.2215754433531361E+00,   0.1038331789452673E+00,
   0.2250284824575308E+00,   0.1055940975224471E+00,
   0.2284805322639060E+00,   0.1073543182548971E+00,
   0.2248689615516706E+00,   0.9710944670946053E-01,
   0.2283772898780168E+00,   0.9875741209454696E-01,
   0.2318845389928808E+00,   0.1004047034376483E+00,
   0.2279249825875563E+00,   0.9032261033673306E-01,
   0.2314847054874470E+00,   0.9185633548900041E-01,
   0.2350432725557493E+00,   0.9338941301083160E-01,
   0.2295940242291583E+00,   0.8634815903942009E-01,
   0.2331818589378771E+00,   0.8781488292891067E-01,
   0.2367684991619799E+00,   0.8928097584067830E-01,
   0.2322728907939119E+00,   0.7948506674048185E-01,
   0.2359058871809089E+00,   0.8083593989017869E-01,
   0.2395376307624386E+00,   0.8218621454213113E-01,
   0.2347135431981133E+00,   0.7258844248647489E-01,
   0.2383877352107316E+00,   0.7382271235682501E-01,
   0.2420606259406634E+00,   0.7505642121616266E-01,
   0.2360248441263445E+00,   0.6856354966268238E-01,
   0.2397211936764693E+00,   0.6972968702392410E-01,
   0.2434162176308310E+00,   0.7089528735612692E-01,
   0.2380910805215840E+00,   0.6163668385706100E-01,
   0.2418223793900720E+00,   0.6268544807772297E-01,
   0.2455523087687873E+00,   0.6373371892779192E-01,
   0.2399231707875919E+00,   0.5470469301623004E-01,
   0.2436855050319728E+00,   0.5563585607643836E-01,
   0.2474464220890502E+00,   0.5656657224384035E-01,
   0.2408828196678954E+00,   0.5067200731223478E-01,
   0.2446614320106530E+00,   0.5153469370242213E-01,
   0.2484385982506857E+00,   0.5239696154225933E-01,
   0.2423504227546552E+00,   0.4375325189846908E-01,
   0.2461539416706561E+00,   0.4449837142892526E-01,
   0.2499559709372966E+00,   0.4524312396405163E-01,
   0.2435922167210440E+00,   0.3685577522295010E-01,
   0.2474168230504050E+00,   0.3748358909856631E-01,
   0.2512399049510259E+00,   0.3811109110254142E-01,
   0.2442127098224878E+00,   0.3285494333887302E-01,
   0.2480478595856154E+00,   0.3341467149243516E-01,
   0.2518814683834558E+00,   0.3397412123768104E-01,
   0.2451061762224574E+00,   0.2601045005553573E-01,
   0.2489565155727767E+00,   0.2645365416109860E-01,
   0.2528052879200934E+00,   0.2689663672049944E-01,
   0.2457857566626030E+00,   0.1921097359253011E-01,
   0.2496476601121419E+00,   0.1953836801624449E-01,
   0.2535079729348368E+00,   0.1986559649682307E-01,
   0.2460849765928906E+00,   0.1527764634154246E-01,
   0.2499519768529954E+00,   0.1553802540041197E-01,
   0.2538173741688901E+00,   0.1579827045808128E-01,
   0.2464374823523321E+00,   0.8566294566826707E-02,
   0.2503104803050529E+00,   0.8712306113130897E-02,
   0.2541818616349007E+00,   0.8858240447423220E-02,
   0.2465908695175837E+00,   0.1920584563546534E-02,
   0.2504664625778723E+00,   0.1953324038433861E-02,
   0.2543404352694348E+00,   0.1986045741979477E-02,
   0.2003586945843678E-02,   0.2451147605991729E+00,
   0.2031454976976880E-02,   0.2489891430279419E+00,
   0.2059149778152068E-02,   0.2528655387062506E+00,
   0.8937711281416204E-02,   0.2449801596064392E+00,
   0.9062271113291727E-02,   0.2488532828703263E+00,
   0.9186295151040136E-02,   0.2527286925492316E+00,
   0.1594222736192562E-01,   0.2446682194665046E+00,
   0.1616484637702106E-01,   0.2485371548099662E+00,
   0.1638693714864624E-01,   0.2524083611844841E+00,
   0.2004845696802684E-01,   0.2444027756685877E+00,
   0.2032874544669963E-01,   0.2482679072437652E+00,
   0.2060866306146405E-01,   0.2521351804948690E+00,
   0.2715175332569854E-01,   0.2437972577855154E+00,
   0.2753218532615256E-01,   0.2476537214014984E+00,
   0.2791244436744450E-01,   0.2515121414705215E+00,
   0.3430886772453513E-01,   0.2429982962788052E+00,
   0.3479070294762902E-01,   0.2468433746215608E+00,
   0.3527241951169105E-01,   0.2506903083745097E+00,
   0.3849577079394815E-01,   0.2424422640783723E+00,
   0.3903716074150063E-01,   0.2462794320499302E+00,
   0.3957840420244566E-01,   0.2501184311765308E+00,
   0.4572216056667404E-01,   0.2413255847236533E+00,
   0.4636673551402286E-01,   0.2451468023117421E+00,
   0.4701114122441164E-01,   0.2489697892493183E+00,
   0.5298165427139873E-01,   0.2400012110785795E+00,
   0.5373039593099258E-01,   0.2438034287881998E+00,
   0.5447899672316542E-01,   0.2476073164103972E+00,
   0.5721815960543161E-01,   0.2391332058618968E+00,
   0.5802792889806601E-01,   0.2429229342198176E+00,
   0.5883759452363662E-01,   0.2467142591325494E+00,
   0.6451178335412938E-01,   0.2374704024519454E+00,
   0.6542702226538492E-01,   0.2412360903781500E+00,
   0.6634220576829747E-01,   0.2450032553472932E+00,
   0.7181487506385165E-01,   0.2355881333891664E+00,
   0.7283623876565316E-01,   0.2393264663419200E+00,
   0.7385756757737706E-01,   0.2430661702401817E+00,
   0.7606546891996090E-01,   0.2343905025487137E+00,
   0.7714884160822366E-01,   0.2381113690415057E+00,
   0.7823217947685840E-01,   0.2418335505863841E+00,
   0.8336289436707495E-01,   0.2321536400801781E+00,
   0.8455312161335372E-01,   0.2358417463238164E+00,
   0.8574331141349381E-01,   0.2395310740973048E+00,
   0.9064322981005830E-01,   0.2296888029955788E+00,
   0.9194056983605629E-01,   0.2333406417472989E+00,
   0.9323786884416332E-01,   0.2369936107416355E+00,
   0.9486803763038285E-01,   0.2281487953219587E+00,
   0.9622777257988707E-01,   0.2317778992676543E+00,
   0.9758746387778540E-01,   0.2354080809700168E+00,
   0.1020987900771288E+00,   0.2253189957154416E+00,
   0.1035657006924821E+00,   0.2289061464248321E+00,
   0.1050325604140658E+00,   0.2324942788865790E+00,
   0.1092836534799862E+00,   0.2222567547026844E+00,
   0.1108575540776791E+00,   0.2257982851618555E+00,
   0.1124313928102948E+00,   0.2293406930135857E+00,
   0.1134394373185589E+00,   0.2203676834510632E+00,
   0.1150754517571135E+00,   0.2238809729422004E+00,
   0.1167113962574975E+00,   0.2273950761435226E+00,
   0.1205278349277033E+00,   0.2169369894298521E+00,
   0.1222701597808679E+00,   0.2203987864995222E+00,
   0.1240123986261781E+00,   0.2238612965433118E+00,
   0.1275400753362835E+00,   0.2132740040974596E+00,
   0.1293880330346936E+00,   0.2166805681596878E+00,
   0.1312358859677553E+00,   0.2200877576674834E+00,
   0.1315813985658965E+00,   0.2110361162436039E+00,
   0.1334904509774394E+00,   0.2144088224045091E+00,
   0.1353993863131621E+00,   0.2177821085766739E+00,
   0.1384487165849044E+00,   0.2070089295781080E+00,
   0.1404619224538812E+00,   0.2103204779164057E+00,
   0.1424749853469246E+00,   0.2136325271854631E+00,
   0.1452091167881789E+00,   0.2027547251220466E+00,
   0.1473252829031633E+00,   0.2060013834404748E+00,
   0.1494412737847677E+00,   0.2092484608988353E+00,
   0.1490898078402302E+00,   0.2001759492165219E+00,
   0.1512652753791513E+00,   0.2033831459830886E+00,
   0.1534405459217098E+00,   0.2065907134544621E+00,
   0.1556569065943911E+00,   0.1955700467290253E+00,
   0.1579330288400743E+00,   0.1987065197872116E+00,
   0.1602089106657085E+00,   0.2018432846916195E+00,
   0.1620869317076575E+00,   0.1907476495787792E+00,
   0.1644619906750288E+00,   0.1938097740522743E+00,
   0.1668367580634287E+00,   0.1968721179830862E+00,
   0.1657617292927374E+00,   0.1878437952139139E+00,
   0.1681935090730345E+00,   0.1908610152134295E+00,
   0.1706249645650284E+00,   0.1938784153194681E+00,
   0.1719519372305977E+00,   0.1826905378777048E+00,
   0.1744795296787615E+00,   0.1856278151496746E+00,
   0.1770067459605731E+00,   0.1885652058393466E+00,
   0.1779766639225128E+00,   0.1773365331932682E+00,
   0.1805978452544032E+00,   0.1801904377043846E+00,
   0.1832186054190623E+00,   0.1830443896444348E+00,
   0.1814029342339476E+00,   0.1741312414605874E+00,
   0.1840774958270293E+00,   0.1769350922467867E+00,
   0.1867516127070645E+00,   0.1797389529728214E+00,
   0.1871450393309325E+00,   0.1684751743469552E+00,
   0.1899092788490647E+00,   0.1711904547387174E+00,
   0.1926730293481465E+00,   0.1739056907167435E+00,
   0.1926961758827360E+00,   0.1626388854987722E+00,
   0.1955473845060815E+00,   0.1652624701371822E+00,
   0.1983980538035977E+00,   0.1678859699828492E+00,
   0.1958356622195280E+00,   0.1591629703482376E+00,
   0.1987361839944163E+00,   0.1617318080671269E+00,
